"gemeente","soort","Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue","Sensitivity","Specificity","TSS","Pos.Pred.Value","Neg.Pred.Value","Precision","Recall","F1","Prevalence","Detection.Rate","Detection.Prevalence","Balanced.Accuracy"
"Roermond","adder",0.98,0,0.8935304542885,0.999493772016959,0.98,0.735771394461726,1,0,1,0,NA,0.98,NA,0,NA,0.02,0,0,0.5
"Roermond","hazelworm",0.378151260504202,0.0232919254658384,0.290884049931094,0.471636598210415,0.831932773109244,1,2.41403316111403e-13,0.75,0.303030303030303,0.053030303030303,0.178571428571429,0.857142857142857,0.178571428571429,0.75,0.288461538461538,0.168067226890756,0.126050420168067,0.705882352941177,0.526515151515151
"Roermond","levendbarende_hagedis",0.6,0.248402856069147,0.497209150422335,0.696705231297122,0.57,0.308145311355042,4.5332938356574e-06,0.883720930232558,0.385964912280702,0.26968584251326,0.520547945205479,0.814814814814815,0.520547945205479,0.883720930232558,0.655172413793103,0.43,0.38,0.73,0.63484292125663
"Roermond","ringslang",0.976744186046512,0,0.87710951729866,0.999411387068407,0.976744186046512,0.735775855766688,1,0,1,0,NA,0.976744186046512,NA,0,NA,0.0232558139534884,0,0,0.5
"Roermond","zandhagedis",0.541176470588235,0.013099136647812,0.42957098434421,0.64982986098217,0.576470588235294,0.779440754071231,0.054663935891675,0.277777777777778,0.73469387755102,0.0124716553287982,0.434782608695652,0.580645161290323,0.434782608695652,0.277777777777778,0.338983050847458,0.423529411764706,0.117647058823529,0.270588235294118,0.506235827664399
"Westerveld","adder",0.770661157024793,0.508867517460782,0.730581452521571,0.8073972492474,0.56198347107438,7.58586609856713e-22,1.3815492551464e-20,0.977941176470588,0.504716981132076,0.482658157602664,0.716981132075472,0.946902654867257,0.716981132075472,0.977941176470588,0.827371695178849,0.56198347107438,0.549586776859504,0.766528925619835,0.741329078801332
"Westerveld","gladde_slang",0.836206896551724,0.610290867297321,0.782184167392123,0.881407408422618,0.780172413793103,0.0210854145368739,4.93394026713873e-07,0.941176470588235,0.806629834254144,0.747806304842379,0.578313253012048,0.97986577181208,0.578313253012048,0.941176470588235,0.716417910447761,0.219827586206897,0.206896551724138,0.357758620689655,0.87390315242119
"Westerveld","hazelworm",0.7475,0.47023341201154,0.701937661926567,0.789356987299103,0.555,1.21610823420829e-15,6.86230958024342e-10,0.914414414414414,0.539325842696629,0.453740257111044,0.712280701754386,0.834782608695652,0.712280701754386,0.914414414414414,0.800788954635109,0.555,0.5075,0.7125,0.726870128555522
"Westerveld","levendbarende_hagedis",0.761290322580645,0.472522418946884,0.72572932250469,0.794340946919384,0.57741935483871,7.19344209028674e-22,4.62437696721958e-31,0.991620111731844,0.446564885496183,0.438184997228027,0.71,0.975,0.71,0.991620111731844,0.827505827505828,0.57741935483871,0.57258064516129,0.806451612903226,0.719092498614013
"Westerveld","muurhagedis",0.912087912087912,-0.0429799426934111,0.861162179963942,0.948913889793439,0.967032967032967,0.999874529002594,0.453254704753736,0,0.943181818181818,-0.0568181818181818,0,0.965116279069767,0,0,NA,0.032967032967033,0,0.0549450549450549,0.471590909090909
"Westerveld","ringslang",0.588014981273408,0.0955423820155516,0.54494108647529,0.630109409399107,0.548689138576779,0.0370146579718896,1.80423437497413e-48,0.996587030716723,0.0912863070539419,0.0878733377706653,0.571428571428571,0.956521739130434,0.571428571428571,0.996587030716723,0.72636815920398,0.548689138576779,0.546816479400749,0.956928838951311,0.543936668885333
"Westerveld","zandhagedis",0.782222222222222,0.44106463878327,0.722516708986507,0.834329531429552,0.831111111111111,0.97682740629342,2.70591381950816e-07,0.842105263157895,0.770053475935829,0.612158739093724,0.426666666666667,0.96,0.426666666666667,0.842105263157895,0.566371681415929,0.168888888888889,0.142222222222222,0.333333333333333,0.806079369546862
"Wormerland","ringslang",0.446428571428571,-0.071604938271605,0.313436083281583,0.585283337247543,0.517857142857143,0.885608729321363,3.01584335141681e-06,0,0.925925925925926,-0.0740740740740741,0,0.462962962962963,0,0,NA,0.517857142857143,0,0.0357142857142857,0.462962962962963
"Zutphen","hazelworm",0.573529411764706,0.27178729689808,0.447671796688262,0.692773913695571,0.764705882352941,0.999851711499722,1.99858150813818e-07,1,0.442307692307692,0.442307692307692,0.355555555555556,1,0.355555555555556,1,0.524590163934426,0.235294117647059,0.235294117647059,0.661764705882353,0.721153846153846
"Zutphen","levendbarende_hagedis",0.673469387755102,0.0754716981132076,0.52459929450968,0.800514661953898,0.979591836734694,1,0.000176834570401608,1,0.666666666666667,0.666666666666667,0.0588235294117647,1,0.0588235294117647,1,0.111111111111111,0.0204081632653061,0.0204081632653061,0.346938775510204,0.833333333333333
"Zutphen","ringslang",0.4,-0.115255981476717,0.295193560668681,0.511983524638323,0.858823529411765,1,1.92681603327718e-06,0.333333333333333,0.410958904109589,-0.255707762557078,0.0851063829787234,0.789473684210526,0.0851063829787234,0.333333333333333,0.135593220338983,0.141176470588235,0.0470588235294118,0.552941176470588,0.372146118721461
